timestamp,attack_type,target_industry,country,financial_loss,affected_users,response_time,defense_mechanism,data_breach_size,network_traffic,vulnerability_score,employee_training_hours,high_risk_incident
2015-01-01,Malware,Education,USA,89.26043111616208,9964,6.932656229998888,IDS,127.38379975595142,1543.4664157756993,4.574265019950097,26,0
2015-01-02,Insider Threat,Finance,UK,16.746390013075953,9979,3.9787116246179886,Firewall,11423.429335473571,947.9464467414653,4.60261972387865,21,0
2015-01-03,DDoS,Education,India,22.578583985991404,10023,5.0927377942435665,Firewall,6079.786930294731,880.1436729465254,9.588102111638202,22,0
2015-01-04,Insider Threat,Education,UK,31.228863305716253,10060,3.317246270152458,Security Training,631.888341453563,936.0268556404897,5.666143543952088,17,0
2015-01-05,Insider Threat,Education,Germany,192.99441492172645,9983,2.3877236983637724,Firewall,6177.184215326105,810.9370641589533,9.876558482314316,19,1
2015-01-06,Ransomware,Finance,UK,9.46069079706745,10041,5.769033316558481,Encryption,178.40916279619492,967.8968520764271,8.76558399999411,25,0
2015-01-07,DDoS,Finance,Australia,22.118108224572094,10040,0.9181118718700245,Security Training,2040242.072433326,1010.4785210814907,6.756918855412928,22,0
2015-01-08,DDoS,Technology,Brazil,65.36049989932317,9916,5.205988136767838,Encryption,41074.50015111477,1004.5010596426564,1.0822203363378267,22,0
2015-01-09,DDoS,Healthcare,Brazil,166.13373118335394,9952,7.650984893390584,Multi-Factor Auth,10348.587902203335,621.2206603970636,3.6633264550130997,16,1
2015-01-10,Insider Threat,Healthcare,UK,8.460901970515145,10045,0.8570241861944476,Multi-Factor Auth,3467.7482443187587,1267.729294014458,4.758794060015823,18,0
2015-01-11,Malware,Technology,Japan,12.898394159112778,9992,7.771523709075621,Firewall,864.8394738877668,834.11217005783,6.875334187616667,16,0
2015-01-12,DDoS,Technology,Germany,12.789450282323585,9952,2.0226808419294464,Security Training,216.94145430472418,802.4009958367559,4.559707657800507,22,0
2015-01-13,SQL Injection,Retail,USA,1.057710517755477,10053,6.952566185272708,Encryption,2374.05500586479,788.8521950402372,8.450414965377133,23,0
2015-01-14,Insider Threat,Education,UK,46.33165463189527,9894,7.379317502353526,Encryption,534.0442649073889,684.2584920606707,6.966147443832092,18,0
2015-01-15,Ransomware,Technology,USA,55.539771251968304,10163,3.340538901243197,IDS,600.1119989382515,1080.3392995861939,4.124440767390466,26,0
2015-01-16,Malware,Government,Germany,46.13127396997656,10020,2.9868767224043102,Firewall,175.29788388298138,1268.494591702,8.059906426088988,23,0
2015-01-17,SQL Injection,Healthcare,UK,3.69971374541109,10014,3.401914196962168,Multi-Factor Auth,4911.457912295621,783.103234409856,3.727812829328493,23,0
2015-01-18,SQL Injection,Technology,Japan,3.587160675570594,9972,2.350753357772839,IDS,1402.5018947189783,447.06226438546844,1.5650794651293003,13,0
2015-01-19,Ransomware,Government,India,11.81058813791273,10117,6.875326412363977,Multi-Factor Auth,8691.867954532949,691.8656207174729,2.553006577574516,19,0
2015-01-20,Malware,Government,Japan,17.145260292406746,10029,1.7297625533458936,Multi-Factor Auth,7436.812341618517,865.5142152117843,1.024664434955128,17,0
2015-01-21,Insider Threat,Government,Australia,77.2161472276115,9900,2.9737954658380388,Encryption,4717.004607921923,630.5694065706242,8.491152522200707,20,0
2015-01-22,Phishing,Retail,Japan,8.681388817777224,10053,3.8557447364417596,Multi-Factor Auth,608578.0905894947,820.3804932993787,6.6439764631862,23,0
2015-01-23,Malware,Retail,India,2.2546915625119857,9979,2.7379338185054736,Security Training,15481.65459062423,834.5419527157799,6.135123796778958,21,0
2015-01-24,Ransomware,Government,Australia,25.04273393952013,10082,3.390681445649455,Multi-Factor Auth,239.57534941329556,995.3529933649218,6.958434290987469,28,0
2015-01-25,SQL Injection,Retail,India,26.9263022971452,10059,3.0764625726733223,Security Training,7461.210129873159,563.5136601243125,6.882384925014097,12,0
2015-01-26,Insider Threat,Education,Brazil,29.974403440837875,9981,3.7009432334115053,Multi-Factor Auth,2675.6898503473135,1174.0340118976917,6.089499467701254,18,0
2015-01-27,Malware,Government,India,87.69531454399896,9891,3.614718540991143,IDS,203.7591906008417,1498.2816456099367,8.581690411018018,18,0
2015-01-28,Phishing,Education,UK,5.157338106019739,9871,7.3559062922150265,Encryption,173.59660400413006,1428.7351616440305,4.968523090326884,18,0
2015-01-29,Phishing,Education,USA,60.86000881525463,9906,1.621230579478229,IDS,7379.091703098009,824.7867558105227,8.243285023879508,18,0
2015-01-30,DDoS,Government,Brazil,20.620375373005256,10135,1.7428372615474896,Encryption,12029.233241721053,1200.596548347508,8.079703162140191,14,0
2015-01-31,DDoS,Healthcare,Brazil,18.551744701525543,9978,7.598683431051788,IDS,367.780245691186,1165.0761417706033,2.7955435226892047,14,0
2015-02-01,Ransomware,Government,USA,134.81333951339465,9873,2.5107880360048074,Firewall,20750.67606116994,986.9424511212306,5.08387041653343,31,1
2015-02-02,Malware,Government,Brazil,14.28210934946073,10026,2.936334857647976,Multi-Factor Auth,5270.2274164482,1053.1016923525372,8.514390015656748,14,0
2015-02-03,Malware,Retail,India,51.435448535678894,10133,1.9078634861279087,Multi-Factor Auth,32588.616324895516,1204.9131390577131,8.477696726762346,24,0
2015-02-04,SQL Injection,Government,Japan,16.087992836299314,10046,3.6858087372892876,Firewall,26350.45434929863,1265.0127413120324,1.2160590598705152,18,0
2015-02-05,SQL Injection,Healthcare,Germany,35.37689993669158,9862,6.88562278982475,Firewall,2171.3973278686917,756.498320979482,3.007451101866284,17,0
2015-02-06,SQL Injection,Retail,India,77.15744292093484,9899,4.246486776499083,Security Training,78527.13086739763,1224.307416994805,4.814869569887095,11,0
2015-02-07,DDoS,Finance,Australia,106.73609596654026,9942,4.886123364748453,IDS,314.74658398473093,1499.9387570456338,1.4243891800069841,16,1
2015-02-08,Malware,Finance,Australia,91.22360924265972,9978,1.8759768970453636,Multi-Factor Auth,355254.25021583564,1264.6544926052618,3.345621606052243,25,0
2015-02-09,Malware,Education,Japan,43.63531615415322,10022,8.944841056153928,Security Training,514.1055728571115,1460.9388745869583,3.324698549935815,18,0
2015-02-10,Phishing,Education,Japan,14.305253517889376,10112,1.7086780470193608,Multi-Factor Auth,2708.0782694056675,224.9441929464897,2.9311154378873825,17,0
2015-02-11,DDoS,Healthcare,Brazil,54.12219274448936,9957,1.177783922064108,Firewall,958.7433367998262,1178.7127187884282,4.569930808136252,27,0
2015-02-12,Insider Threat,Technology,UK,61.87734906242004,10150,1.9347737722134533,Security Training,1403.0700733755607,1079.2753809724618,8.317096965258798,19,0
2015-02-13,DDoS,Finance,UK,0.5374780083241094,10025,0.5079964318983604,Security Training,1032101.2441703632,1308.1254091670698,3.197022771165211,21,0
2015-02-14,Insider Threat,Education,Brazil,28.920484309162873,9877,1.4412342644720653,Security Training,1181.5218916856768,662.3121527264793,6.2386058079213935,14,0
2015-02-15,Phishing,Finance,Brazil,92.6589965314784,9949,3.663023255321145,IDS,16353.819287073018,848.1576724684847,6.0182025425466685,20,0
2015-02-16,Ransomware,Healthcare,USA,33.626812260759976,10109,0.6590685981059196,Security Training,1861.6047758275245,1270.1610198941944,8.361316746137492,17,0
2015-02-17,Malware,Healthcare,USA,18.65295326427045,10044,5.563842419289845,Multi-Factor Auth,19401.406825013775,682.0994327626504,4.545994649795636,17,0
2015-02-18,Phishing,Technology,Germany,102.70731739718077,9902,5.926628554433319,IDS,1003.9333998674176,1072.6942772354143,3.012117563210671,20,1
2015-02-19,Malware,Technology,Germany,8.473072036899653,10021,2.197484565443298,Multi-Factor Auth,4975.415617544734,994.9184251283353,9.02368584086313,19,0
2015-02-20,SQL Injection,Retail,Germany,11.56163605640119,10004,2.2149626570300676,Security Training,10481.809455568828,941.2207999401959,8.496523567781033,19,0
2015-02-21,Ransomware,Healthcare,Germany,58.137123369221165,10126,7.543198908990165,Security Training,703.7175676355669,1171.8095926290669,6.593533116465205,16,0
2015-02-22,Ransomware,Education,Japan,21.726877914830137,9922,3.3892977769328723,Multi-Factor Auth,740774.7288813955,665.3497637861901,1.8391543851109642,20,0
2015-02-23,Phishing,Finance,Japan,62.416586301822576,9964,2.799650794048746,Encryption,11636.26840899139,765.9649655109622,1.1450604629191081,14,0
2015-02-24,Ransomware,Government,USA,8.581166646075278,10228,3.3409479577958554,Security Training,1897.0552433987218,958.225361365912,2.643621590271964,22,0
2015-02-25,Insider Threat,Technology,UK,14.535605559362793,9998,1.6772445614280005,Security Training,739.1722405831096,639.6452904487257,2.76974702592854,21,0
2015-02-26,Ransomware,Government,Brazil,8.518505734232841,9975,3.1171167656823253,IDS,3581.174317494673,1369.2765406999126,2.22622675739276,19,0
